Standard reference;PGC0 before 23/11/2023,PIC0 after
Orbit;POE-F
Ionospheric;GIM model computed from vertical Total Electron Content maps (Chou et al. 2023) rescaled on the orbit altitude with IRI95 model (https://irimodel.org/)
Wet troposphere;Model computed from ECMWF Gaussian grids
Sea State Bias;Non-parametric SSB from AltiKa GDR-F (Tran 2019)
Mean Profile/ Mean Sea Surface;Hybrid MSS (SIO22,CNES/CLS22,DTU21) (Schaeffer et al. 2023, Laloue et al. 2024)
Mean Dynamic Topography;MDT CNES_CLS_2022 (Jousset and Mulet 2020, Jousset et al. 2022) available on AVISO+ (https://doi.org/10.24400/527896/a01-2023.003)
Dry troposphere;Model computed from ECMWF Gaussian grids (new S1 and S2 atmospheric tides are applied)
DAC;DAC v4.0: TUGO forced with ECMWF pressure and wing fields (S1 and S2 were excluded) + inverse barometer computed from rectangular grids
Ocean tide;FES2022: (Lyard et al. 2023, Loren Carrère et al. 2023) (https://doi.org/10.24400/527896/a01-2024.004)
Internal tide;(Zaron 2019) (HRETv8.1 tidal frequencies: M2, K1, S2, O1)
Pole tide;(Desai, Wahr, et Beckley 2015)& Mean Pole Location
Solid earth tide;Elastic response to tidal potential (Cartwright et Edden 1973, Cartwright et Tayler 1971)
Loading tide;FES2022: (Lyard et al. 2023, Loren Carrère et al. 2023)
